CATEGORY,BRAND,MODEL NO,DESCRIPTION,PDC,CDC,STOCK
HD Camera,CP Plus,CP-URC-DC24PL3C,2 MP Basic Dome Camera with Built-in Audio,855.45,800,100
HD Camera,CP Plus,CP-URC-TC24PL3C,2 MP Basic Bullet Camera with Built-in Audio,921.25,860,100
HD Camera,Dahua,DH-HAC-HDW1200TLQ,2 MP HDCVI IR Eyeball Camera,950,900,50
HD Camera,Hikvision,DS-2CE56D0T-ITPFS,2 MP Audio Fixed Turret Camera,980,920,50
DVR,CP Plus,CP-UVR-0401E1-CS,4 CH 1080P Mini 1U H.265+ DVR,3562.19,3300,25
DVR,Dahua,DH-XVR1B04H-I,4 Channel Penta-brid 5M-N WizSense DVR,3750,3500,20
DVR,Hikvision,iDS-7204HQHI-M1/S,4 CH AcuSense 1080P 1U DVR,4200,3950,15
Memory & Storage,SanDisk,SDCZ50-064G-B35,Cruzer Blade 64GB USB 2.0 Flash Drive,380,350,200
Network Switch,TP-Link,TL-SF1008D,8-Port 10/100Mbps Desktop Switch,720,680,40
IP CAMERA,HIFOCUS,HIPC-D3022E-I2,2 MP IR Dome,2908,2849.84,10
IP CAMERA,HIFOCUS,HIPC-T4022E-I2,2 MP IR Bullet,2908,2849.84,10
IP CAMERA,HIFOCUS,HIPC-D3024E-I2,4 MP IR Dome,3842,3765.16,10
IP CAMERA,HIFOCUS,HIPC-T4024E-I2,4 MP IR Bullet,3842,3765.16,10
IP CAMERA,HIFOCUS,HIPC-D3022-DL-I2,2 MP Dual Light Dome,3219,3154.62,10
IP CAMERA,HIFOCUS,HIPC-T4022-DL-I2,2 MP Dual Light Bullet,3219,3154.62,10
IP CAMERA,HIFOCUS,HIPC-D3024-DL-I2,4 MP Dual Light Dome,4154,4070.92,10
IP CAMERA,HIFOCUS,HIPC-T4024-DL-I2,4 MP Dual Light Bullet,4154,4070.92,10
IP CAMERA,HIFOCUS,HC-IPC-D13212DVZK-N5-0,2 MP MVF Vandal Dome,17134,16791.32,10
IP CAMERA,HIFOCUS,HC-IPC-T14312DVZK-N8-0,2 MP MVF Vandal Bullet,17134,16791.32,10
IP CAMERA,HIFOCUS,HC-IPC-D13215DVZK-N5-0,5 MP MVF Vandal Dome,21287,20861.26,10
IP CAMERA,HIFOCUS,HC-IPC-T14315DVZK-N8-0,5 MP MVF Vandal Bullet,21287,20861.26,10
IP CAMERA,HIFOCUS,HIPC-D3304-DLS-R1,4 MP IP Dome Camera,3790,3714.2,10
IP CAMERA,HIFOCUS,HIPC-T4404-DL-R1,4 MP IP Bullet Camera,3790,3714.2,10
IP CAMERA,HIFOCUS,HIPC-T4804-DLS-R1,4 MP IP Bullet Camera,4413,4324.74,10
IP CAMERA,HIFOCUS,HIPC-T4504-ADL-R1,4 MP IP Bullet Camera,4206,4121.88,10
IP CAMERA,HIFOCUS,HIPC-T4504-DLS-R1,4 MP IP Bullet Camera,4309,4222.82,10
HD CAMERA ,HIFOCUS,HC-DS2401N2PA-DL,2.4 MP Dual Light Dome,1298,1272.04,10
HD CAMERA ,HIFOCUS,HC-TS2401N2PA-DL,2.4 MP Dual Light Bullet,1402,1373.96,10
HD CAMERA ,HIFOCUS,HC-DS5501N2PA-DL,5 MP Dual Light Dome,1817,1780.66,10
HD CAMERA ,HIFOCUS,HC-TS5501N2PA-DL,5 MP Dual Light Bullet,1869,1831.62,10
NVR,HIFOCUS,HD-NVR-21041-4P,4 CH PoE NVR,4673,4579.54,10
NVR,HIFOCUS,HD-NVR-21081-8P,8 CH PoE NVR,5711,5596.78,10
NVR,HIFOCUS,HD-NVR-21051,5 CH NVR,4309,4222.82,10
NVR,HIFOCUS,HD-NVR-21101,10 CH NVR,5140,5037.2,10
NVR,HIFOCUS,HD-NVR-21161,16 CH NVR,7373,7225.54,10
NVR,HIFOCUS,HD-NVR-22201,20 CH NVR,9865,9667.7,10
NVR,HIFOCUS,HD-NVR-22321,32 CH NVR,14797,14501.06,10
NVR,HIFOCUS,HD-NVR-4120I,20 CH NVR,7944,7785.12,10
NVR,HIFOCUS,HD-NVR-5220I,20 CH NVR,14018,13737.64,10
NVR,HIFOCUS,HD-NVR-5232I,32 CH NVR,17653,17299.94,10
NVR,HIFOCUS,HD-NVR-7240I,40 CH NVR,35306,34599.88,10
NVR,HIFOCUS,HD-NVR-5440I,40 CH NVR,43094,42232.12,10
NVR,HIFOCUS,HD-NVR-5480I,80 CH NVR,38940,38161.2,10
NVR,HIFOCUS,HD-NVR-78401,40 CH NVR,65938,64619.24,10
NVR,HIFOCUS,HD-NVR-78801,80 CH NVR,69054,67672.92,10
NVR,HIFOCUS,HD-NVR-524160I,160 CH NVR,259600,254408,10
NVR,HIFOCUS,HD-NVR-4104TL-B,4 CH NVR,4309,4222.82,10
NVR,HIFOCUS,HD-NVR-4108TL-B,8 CH NVR,5140,5037.2,10
NVR,HIFOCUS,HD-NVR-4116TL-A,16 CH NVR,7580,7428.4,10
NVR,HIFOCUS,HD-NVR-4104TL-4P-4K,4 CH PoE NVR,4673,4579.54,10
NVR,HIFOCUS,HD-NVR-4108TL-8P-4K,8 CH PoE NVR,5711,5596.78,10
NVR,HIFOCUS,HD-NVR-5116T-B,16 CH NVR,11422,11193.56,10
